"sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"Industrials","21.797783","0.016","4442144","2996916","13.88","-0.717","Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines. Its Construction Industries segment offers asphalt pavers, compactors, cold planers, feller bunchers, harvesters, motorgraders, pipelayers, road reclaimers, skidders, telehandlers, and utility vehicles; backhoe, knuckleboom, compact track, multi-terrain, skid steer, and track-type loaders; forestry and wheel excavators; and site prep and track-type tractors. The company's Resource Industries segment provides electric rope and hydraulic shovels, draglines, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway and articulated trucks, wheel tractor scrapers, wheel dozers, landfill and soil compactors, machinery components, autonomous vehicles and solutions, select work tools, and hard rock continuous mining systems. Its Energy & Transportation segment offers reciprocating engine powered generator sets; reciprocating engines and integrated systems for the power generation, marine, oil, and gas industries; turbines, centrifugal gas compressors, and related services; remanufactured reciprocating engines and components; and diesel-electric locomotives and components, and other rail-related products. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing; and insurance and risk management. Its All Other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, fluid transfer products, precision seals, and rubber sealing and connecting components; parts distribution; integrated logistics solutions and distribution services; and digital investments services. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois.","https://logo.clearbit.com/caterpillar.com","0.08901","1.8991263","0.55009997","United States","Farm & Heavy Construction Machinery","88373944320","25.363","7.487","4.12","6.43457","1.025923"
"Financial Services","17.729969","0.0228","670006","1184366","10.686","0.287","Cboe Global Markets, Inc., through its subsidiaries, operates as an options exchange in the United States. It operates in five segments: Options, U.S. Equities, Futures, European Equities, and Global FX. The Options segment trades in listed market indices. The U.S. Equities segment trades in listed equities; and offers exchange-traded products (ETP) transaction and ETP listing services. The Futures segment trades in futures. The European Equities segment trades in pan-European listed cash equities transaction services, ETPs, exchange-traded commodities, and international depository receipts that occur on the recognized investment exchange. This segment also provides listed cash equities and ETPs routed transaction services, as well as listing services. The Global FX segment provides institutional foreign exchange (FX) and non-deliverable forward FX transactions services. It has strategic relationships with S&P Dow Jones Indices, LLC; FTSE International Limited; Frank Russell Company; MSCI Inc.; and DJI Opco, LLC. The company was formerly known as CBOE Holdings, Inc. and changed its name to Cboe Global Markets, Inc. in October 2017. Cboe Global Markets, Inc. was founded in 1973 and is headquartered in Chicago, Illinois.","https://logo.clearbit.com/cboe.com","0.1512","2.866424","0.3453","United States","Financial Data & Stock Exchanges","8783296512","28.094","4.555","1.68","2.8746352","0.53337"
"Healthcare","44.003624","0.044099998","912220","978816","19.94","0.061","Cerner Corporation, together with its subsidiaries, provides health care information technology solutions and tech-enabled services in the United States and internationally. The company offers Cerner Millennium architecture, a person-centric computing framework, which includes clinical, financial, and management information systems that allow providers to access an individual's electronic health record (EHR) at the point of care, and organizes and delivers information for physicians, nurses, laboratory technicians, pharmacists, front- and back-office professionals, and consumers. It also provides HealtheIntent platform, a cloud-based platform to aggregate, transform, and reconcile data across the continuum of care; and CareAware, an EHR agnostic platform that facilitates connectivity of health care devices to EHRs. In addition, the company offers a portfolio of clinical and financial health care information technology solutions, as well as departmental, connectivity, population health, and care coordination solutions. Further, it provides tech-enabled services, such as implementation and training, remote hosting, operational management services, revenue cycle services, support and maintenance, health care data analysis, clinical process optimization, transaction processing, employer health centers, employee wellness programs, and third-party administrator services; and complementary hardware and devices for third parties. The company serves integrated delivery networks, physician groups and networks, managed care organizations, hospitals, medical centers, reference laboratories, home health agencies, blood banks, imaging centers, pharmacies, pharmaceutical manufacturers, employers, governments, and public health organizations. Cerner Corporation was founded in 1979 and is headquartered in North Kansas City, Missouri.","https://logo.clearbit.com/cerner.com","0.0923","3.9640508","0.4337","United States","Health Information Services","22253189120","13.162","1.656","0.72","5.536393","0.791505"
"Basic Materials","15.384174","0.0211","1937187","2191083","7.266","-0.329","CF Industries Holdings, Inc. manufactures and distributes nitrogen fertilizers and other nitrogen products worldwide. Its principal nitrogen fertilizer products include anhydrous ammonia, granular urea, urea ammonium nitrate solution, and ammonium nitrate. The company also offers diesel exhaust fluid, urea liquor, nitric acid, and aqua ammonia products, as well as compound fertilizer products with nitrogen, phosphorus, and potassium. It primarily serves cooperatives, independent fertilizer distributors, traders, wholesalers, farmers, and industrial users. The company was founded in 1946 and is headquartered in Deerfield, Illinois.","https://logo.clearbit.com/cfindustries.com","0.088690005","1.3464102","0.6818","United States","Agricultural Inputs","5738400256","13.433","1.744","1.2","1.99732","1.10204"
"Consumer Defensive","32.147606","0.015800001","751035","1010900","21.729","0.37","Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products in the United States and internationally. It operates in three segments: Consumer Domestic, Consumer International, and Specialty Products Division. The company offers cat litters, carpet deodorization, laundry detergents, and baking soda, as well as other baking soda based products under the ARM & HAMMER brand; condoms, lubricants, and vibrators under the TROJAN brand; stain removers, cleaning solutions, laundry detergents, and bleach alternatives under the OXICLEAN brand; battery-operated and manual toothbrushes under the SPINBRUSH brand; home pregnancy and ovulation test kits under the FIRST RESPONSE brand; depilatories under the NAIR brand; oral analgesics under the ORAJEL brand; laundry detergents under the XTRA brand; gummy dietary supplements under the L'IL CRITTERS and VITAFUSION brands; dry shampoos under the BATISTE brand; water flossers and replacement showerheads under the WATERPIK brand; and hair removal products under the FLAWLESS brand. It provides specialty products, including animal productivity products, such as MEGALAC rumen bypass fat, a supplement, which enables cows to maintain energy levels during the period of high milk production; BIO-CHLOR and FERMENTEN, which are designed to help reduce health issues associated with calving, as well as provides needed protein; and CELMANAX refined functional carbohydrate, a yeast based prebiotic. In addition, the company offers sodium bicarbonate; and cleaning and deodorizing products. It sells its consumer products through supermarkets, mass merchandisers, wholesale clubs, drugstores, convenience stores, home stores, dollar and other discount stores, pet and other specialty stores, and Websites and other e-commerce channels; and specialty products to industrial customers and livestock producers through distributors. The company was founded in 1846 and is headquartered in Ewing, New Jersey.","https://logo.clearbit.com/churchdwight.com","0.15702","4.948825","0.32689998","United States","Household & Personal Products","22730446848","12.142","2.859","0.96","7.5695934","0.387755"
"Industrials","28.97585","0.0923","1494154","1210450","20.141","-0.149","C.H. Robinson Worldwide, Inc., a third party logistics company, provides freight transportation services and logistics solutions to companies in various industries worldwide. The company operates through North American Surface Transportation and Global Forwarding segments. It offers transportation and logistics services, such as truckload; less than truckload transportation, which include the shipment of single or multiple pallets of freight; intermodal transportation that include the shipment service of freight in trailers or containers by a combination of truck and rail; and non-vessel ocean common carrier or freight forwarding services, as well as organizes air shipments and offers door-to-door services. The company also provides custom broker services; and other logistics services, including fee-based managed, warehousing, small parcel, and other services. It has contractual relationships with approximately 78,000 transportation companies, including motor carriers, railroads, and air and ocean carriers. In addition, the company is involved in buying, selling, and marketing fresh produce, including fresh fruits, vegetables, and other perishable items under the Robinson Fresh name. Further, it provides transportation management services or managed TMS; and other surface transportation services across Europe. The company offers its fresh produce to grocery retailers, restaurants, produce wholesalers, and foodservice distributors through a network of independent produce growers and suppliers. C.H. Robinson Worldwide, Inc. was founded in 1905 and is headquartered in Eden Prairie, Minnesota.","https://logo.clearbit.com/chrobinson.com","0.03103","0.89024967","0.5901","United States","Integrated Freight & Logistics","13427022848","12.651","3.437","2.04","7.8721046","0.619415"
"Communication Services","55.67958","0.039100002","1119575","972900","12.805","1.439","Charter Communications, Inc., through its subsidiaries, provides cable services to residential and commercial customers in the United States. It offers subscription-based video services, including video on demand, high definition television, digital video recorder, pay-per-view, and spectrum mobile and spectrum guide services, as well as ad-supported free online video products. The company also provides Internet services, such as security suite that protects computers from viruses and spyware; in-home WiFi, which provides customers with high performance wireless routers to enhance their in-home wireless Internet experience; out-of-home WiFi; and Spectrum WiFi. In addition, it offers voice communications services using voice over Internet protocol technology; and broadband communications solutions, such as Internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. Further, the company provides video programming, static IP and business WiFi, email and security, and multi-line telephone services, as well as Web-based service management; sells local advertising across various platforms for networks, such as MTV, CNN, and ESPN; Audience App for optimizes linear inventory; and sells video and online advertising inventory to local, regional, and national advertising customers. Additionally, it offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports networks and local sports, news, and community channels. As of December 31, 2019, the company served approximately 29.2 million residential and small and medium business customers. Charter Communications, Inc. was founded in 1993 and is based in Stamford, Connecticut.","https://logo.clearbit.com/corporate.charter.com","0.04851","2.5571415","","United States","Entertainment","119277862912","127.138","10.455","","4.5787253","1.038058"
"Healthcare","12.952571","0.010199999","1683943","1807150","8.377","0.246","Cigna Corporation provides insurance and related products and services. It operates through Health Services, Integrated Medical, International Markets, and Group Disability and Other segments. The Health Services segment provides pharmacy benefits management, specialty pharmacy services, clinical solutions, home delivery, and health management services. The Integrated Medical segment offers medical, pharmacy, dental, behavioral health, vision, health advocacy programs, and other products and services to insured and self-insured clients; Medicare Advantage, Medicare Supplement, and Medicare Part D plans to Medicare-eligible beneficiaries, as well as Medicaid plans; and health insurance coverage to on and off the public exchanges. The International Markets segment offers supplemental health, life, and accident insurance products; and health care coverage, as well as health care benefits to mobile employees of multinational organizations. This segment offers health coverage, hospitalization, dental, critical illness, personal accident, term life, and variable universal life products. The Group Disability and Other segment provides group long-term and short-term disability, group life, accident, voluntary, and specialty insurance products, as well as related services; permanent insurance contracts to corporations to provide coverage on the lives of certain employees for the purpose of financing employer-paid future benefit obligations; and reinsurance, settlement annuity, individual life insurance, and annuity and retirement benefit business. The company distributes its products and services through insurance brokers and consultants; directly to employers, unions and other groups, or individuals; and private and public exchanges. Cigna Corporation has a strategic alliance with Priority Health to make health care coverage accessible to Michigan employers, their employees and families. The company was founded in 1792 and is headquartered in Bloomfield, Connecticut.","https://logo.clearbit.com/cigna.com","0.03404","0.43191457","0.0028","United States","Healthcare Plans","66786516992","128.642","14.042","0.04","1.4138463","0.668505"
"Consumer Defensive","26.317726","0.0089","3850909","3011650","17.815","0.084","Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide. The company operates through two segments, Oral, Personal and Home Care; and Pet Nutrition. The Oral, Personal and Home Care segment products include toothpaste, toothbrushes, mouthwash, bar and liquid hand soaps, shower gels, shampoos, conditioners, deodorants and antiperspirants, skin health products, dishwashing detergents, fabric conditioners, household cleaners, and other similar items. This segment markets and sells its products to various retailers, wholesalers, and distributors. The Pet Nutrition segment offers pet nutrition products for everyday nutritional needs; and a range of therapeutic products to manage disease conditions in dogs and cats. This segment markets and sells its products for dogs and cats through pet supply retailers, veterinarians, and e-commerce retailers. Its principal global and regional trademarks include Colgate, Palmolive, elmex, meridol, Tom's of Maine, Sorriso, Hello, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Filorga, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline, and Suavitel, as well as Hill's Science Diet and Hill's Prescription Diet. Colgate-Palmolive Company was founded in 1806 and is headquartered in New York, New York.","https://logo.clearbit.com/colgatepalmolive.com","0.16132","4.2334695","0.5786","United States","Household & Personal Products","67468808192","0.313","2.99","1.76","251.40576","0.570325"
"Consumer Defensive","28.903532","0.1086","1092794","1022933","20.345","0.286","The Clorox Company manufactures and markets consumer and professional products worldwide. It operates through four segments: Health and Wellness, Household, Lifestyle, and International. The company offers laundry additives, including bleach products under the Clorox brand, as well as Clorox 2 stain fighter and color booster; home care products primarily under the Clorox, Scentiva, Formula 409, Liquid-Plumr, Pine-Sol, S.O.S, and Tilex brands; naturally derived products under the Green Works brand; professional cleaning, disinfecting, and food service products under the CloroxPro, Clorox Healthcare, and Clorox Total 360 brands; professional food service products under the Hidden Valley brand; and vitamins, minerals, and supplement products under the RenewLife, Rainbow Light, Natural Vitality, NeoCell, and Stop Aging Now brands. It also provides grilling products under the Kingsford and Match Light brands; bags and wraps under the Glad brand; and cat litter products under the Fresh Step, Scoop Away, and Ever Clean brands. In addition, the company offers dressings and sauces primarily under the Hidden Valley brand; water-filtration systems and filters under the Brita brand; and natural personal care products under the Burt's Bees brand. Further, it markets its products under the Ayudin, Clorinda, and Poett brands. The company sells its products primarily through mass retailers, grocery outlets, warehouse clubs, dollar stores, home hardware centers, third-party and owned e-commerce channels, military stores, and distributors, as well as a direct sales force. The Clorox Company was founded in 1913 and is headquartered in Oakland, California.","https://logo.clearbit.com/thecloroxcompany.com","0.13971","3.9892018","0.5761","United States","Household & Personal Products","26811424768","7.195","7.36","4.44","29.566364","0.254274"
"Communication Services","17.578314","0.0175","14770092","14323250","9.23","-0.044","Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Cable Networks, Broadcast Television, Filmed Entertainment, Theme Parks, and Sky segments. The Cable Communications segment offers cable services, including high-speed Internet, video, voice, wireless, and security and automation services to residential and business customers under the Xfinity brand; and advertising services. The Cable Networks segment operates national cable networks that provide various entertainment, news and information, and sports content; regional sports and news networks; international cable networks; and various digital properties, including brand-aligned Websites, as well as engages in the cable television studio production operations. The Broadcast Television segment operates NBC and Telemundo broadcast networks, NBC and Telemundo local broadcast television stations, broadcast television studio production operations, and various digital properties. The Filmed Entertainment segment produces, acquires, markets, and distributes filmed entertainment under the Universal Pictures, Illumination, DreamWorks Animation, and Focus Features names. It also develops, produces, and licenses stage plays; and distributes filmed entertainment produced by third parties. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; and Osaka, Japan. The Sky segment offers direct-to-consumer services, such as video, high-speed Internet, voice, and wireless phone services; and content services comprising operating entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.","https://logo.clearbit.com/corporate.comcast.com","0.10909","1.9254588","0.3534","United States","Entertainment","203230248960","18.304","2.49","0.92","2.3912804","0.938775"
"Financial Services","24.156862","0.0146","1342060","1536833","17.723","-0.02","CME Group Inc., through its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options products based on interest rates, equity indexes, foreign exchange, agricultural commodities, energy, and metals, as well as fixed income products through its electronic trading platforms, open outcry, and privately negotiated transactions. The company also provides clearing for exchange-traded contracts and cleared swaps, as well as settlement services; and transaction lifecycle management services, such as trade and portfolio management, financial resource optimization, regulatory reporting, and trade processing. In addition, the company offers a range of market data services, including real-time and historical data services. It serves professional traders, financial institutions, institutional and individual investors, corporations, manufacturers, producers, governments, and central banks. The company has strategic partnership with B3 S.A. to develop risk management products for Brazilian domestic and international market participants. The company was formerly known as Chicago Mercantile Exchange Holdings Inc. and changed its name to CME Group Inc. in July 2007. CME Group Inc. was founded in 1898 and is headquartered in Chicago, Illinois.","https://logo.clearbit.com/cmegroup.com","0.46497002","11.243556","0.4827","United States","Financial Data & Stock Exchanges","57437704192","74.939","6.63","3.4","2.137205","0.334252"
"Consumer Cyclical","156.89786","0.0324","499342","668000","71.042","-0.186","Chipotle Mexican Grill, Inc., together with its subsidiaries, operates Chipotle Mexican Grill restaurants. As of December 31, 2019, it operated 2,580 restaurants in the United States; 39 international Chipotle restaurants; and 3 non-Chipotle restaurants. The company was founded in 1993 and is headquartered in Newport Beach, California.","https://logo.clearbit.com/chipotle.com","0.04078","6.3077183","","United States","Restaurants","36692930560","64.534","8.362","","20.33006","1.269167"
"Industrials","19.556894","0.0184","895635","862833","14.003","-0.591","Cummins Inc. designs, manufactures, distributes, and services diesel and natural gas engines, products worldwide. It operates through five segments: Engine, Distribution, Components, Power Systems, and New Power. The company manufactures and markets diesel and natural gas powered engines under the Cummins and other customer brands for the heavy and medium-duty truck, bus, recreational vehicle, light-duty automotive, construction, mining, marine, rail, oil and gas, defense, and agricultural markets; and offers new parts and services, as well as remanufactured parts and engines. It distributes parts, engines, and power generation products; and provides service solutions, such as engineering services, custom-designed assemblies, and repair services. The company offers emission solutions; and turbochargers for light-duty, mid-range, heavy-duty, and high-horsepower diesel markets, as well as provides air and fuel filters, fuel water separators, lube and hydraulic filters, coolants, fuel additives, and other filtration systems; and fuel systems for heavy-duty on-highway diesel engine applications and remanufactures fuel systems. It also provides standby and prime power generators, controls, paralleling systems, and transfer switches, as well as A/C generator/alternator products under the Stamford and AVK brands; and provides electrified power systems with components and subsystems, including battery, fuel cell, and hydrogen production technologies. The company offers electric and hybrid powertrains related components including filtration, after treatment, controls systems, air handling systems, automated transmissions, electric power generation systems, and hydrogen generation products. It sells its products to original equipment manufacturers, distributors, dealers, and other customers. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus, Indiana.","https://logo.clearbit.com/cumminseurope.com","0.08457","1.6126051","0.4641","United States","Specialty Industrial Machinery","32589137920","48.734","11.284","5.4","4.528255","1.125758"
"Healthcare","21.116411","0.0174","2705712","2044583","8.843","1.436","Centene Corporation operates as a multi-national healthcare enterprise that provides programs and services to under-insured and uninsured individuals in the United States. Its Managed Care segment offers health plan coverage to individuals through government subsidized programs, including Medicaid, the State children's health insurance program, long-term services and support, foster care, and medicare-medicaid plans, which cover dually eligible individuals, as well as aged, blind, or disabled programs. Its health plans include primary and specialty physician care, inpatient and outpatient hospital care, emergency and urgent care, prenatal care, laboratory and X-ray, home-based primary care, transportation assistance, vision care, dental care, telehealth, immunization, specialty pharmacy, therapy, social work, nurse advisory, and care coordination services, as well as prescriptions and limited over-the-counter drugs, medical equipment, and behavioral health and abuse services. This segment also offers various individual, small group, and large group commercial healthcare products to employers and directly to members in the Managed Care segment. The company's Specialty Services segment provides pharmacy benefits management services; health, triage, wellness, and disease management services; and vision and dental, and management services, as well as care management software that automate the clinical, administrative, and technical components of care management programs; staffing services; and services to Military Health System eligible beneficiaries. This segment offers its services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations. Centene Corporation has a collaboration with AT&T. The company provides its services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in St. Louis, Missouri.","https://logo.clearbit.com/centene.com","0.01798","0.44463333","","United States","Healthcare Plans","38471012352","43.249","3.144","","1.5350643","0.586321"
"Energy","24.605598","0.046","4664747","4950566","10.643","-0.832","Cabot Oil & Gas Corporation, an independent oil and gas company, explores for, exploits, develops, produces, and markets oil and gas properties in the United States. It primarily focuses on the Marcellus Shale with approximately 173,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania. The company sells its natural gas to industrial customers, local distribution companies, gas marketers, and power generation facilities through gathering systems and pipelines. As of December 31, 2019, it had proved reserves of approximately 12,903 billion cubic feet of gas; and 22 thousand barrels of oil or other liquid hydrocarbons. Cabot Oil & Gas Corporation was incorporated in 1989 and is headquartered in Houston, Texas.","https://logo.clearbit.com/cabotog.com","0.20877","5.0044193","0.4937","United States","Oil & Gas E&P","7708537344","5.434","0.786","0.4","3.5590725","0.221731"
"Healthcare","62.195427","0.013200001","172391","152200","27.385","-0.54","The Cooper Companies, Inc. operates as a medical device company worldwide. It operates through CooperVision and CooperSurgical business units. The company develops, manufactures, and markets a range of contact lenses, including spherical lenses, and toric and multifocal lenses that correct near- and farsightedness, as well as addresses various complex visual defects, such as astigmatism and presbyopia. It also provides range of products and services focusing on women, babies, and families, including medical devices, fertility, genomics, and diagnostics and contraception for hospitals and surgical centers, obstetricians' and gynecologists' (OB/GYNs) medical offices, and fertility clinics. In addition, the company develops mechanical surgical solutions for skin closure; and offers PARAGARD, a contraceptive option, as well as provides assisted reproductive technology products, genetic screening and testing, and products within the general OB/GYN offerings. It markets its products under Biofinity, clariti 1day, MyDay, Avaira Vitality, and Proclear 1 Day brand name through a network of field sales representatives, independent agents, and distributors. The Cooper Companies, Inc. was founded in 1980 and is based in San Ramon, California.","https://logo.clearbit.com/coopercos.com","0.113970004","7.608475","0.0107","United States","Medical Instruments & Supplies","18571528192","76.582","5.598","0.06","4.5463686","0.820739"
"Energy","14.472553","0.0112","11049570","17003600","4.719","-0.835","ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids worldwide. The company primarily engages in the conventional and tight oil reservoirs, shale gas, heavy oil, LNG, oil sands, and other production operations. Its portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; various LNG developments; oil sands assets in Canada; and an inventory of conventional and unconventional exploration prospects. The company was founded in 1917 and is headquartered in Houston, Texas.","https://logo.clearbit.com/conocophillips.com","0.09151","1.2900617","0.7625","United States","Oil & Gas E&P","32380547072","29.362","2.095","1.72","1.0326272","1.678433"
"Consumer Defensive","41.098667","0.0072000003","2144995","1624833","21.097","0.266","Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company provides dry and packaged foods, and groceries; snack foods, candies, alcoholic and nonalcoholic beverages, and cleaning supplies; appliances, electronics, health and beauty aids, hardware, and garden and patio products; meat, bakery, and deli products, as well as produce; and apparel and small appliances. It also operates pharmacies, optical dispensing centers, food courts, and hearing-aid centers, as well as 615 gas stations; and offers business delivery, travel, same-day grocery, and various other services online in various countries. As of October 07, 2020, the company operated 796 warehouses, including 552 in the United States and Puerto Rico, 102 in Canada, 39 in Mexico, 29 in the United Kingdom, 27 in Japan, 16 in South Korea, 13 in Taiwan, 12 in Australia, 3 in Spain, 1 in Iceland, 1 in France, and 1 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, South Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.","https://logo.clearbit.com/costco.com","0.024","0.9808506","0.29930001","United States","Discount Stores","163567632384","41.436","9.02","2.8","8.946568","0.685603"
"Consumer Defensive","9.0126915","0.0592","1997541","1759266","12.471","","Campbell Soup Company, together with its subsidiaries, engages in the manufacture and market food and beverage products. It operates through Meals & Beverages and Snacks segments. The Meals & Beverages segment engages in the retail and foodservice businesses in the United States and Canada. This segment provides Campbell's condensed and ready-to-serve soups; Swanson broth and stocks; Pacific Foods broth, soups, and non-dairy beverages; Prego pasta sauces; Pace Mexican sauces; Campbell's gravies, pasta, beans, and dinner sauces; Swanson canned poultry; Plum baby food and snacks; V8 juices and beverages; V8 juices and beverages; and Campbell's tomato juice. The Snacks segment retails Pepperidge Farm cookies, crackers, fresh bakery, and frozen products in the United States; Milano cookies and Goldfish crackers; and Snyder's of Hanover pretzels, Lance sandwich crackers, Cape Cod and Kettle Brand potato chips, Late July snacks, Snack Factory Pretzel Crisps, Pop Secret popcorn, Emerald nuts, and other snacking products in the United States and Canada. This segment is also involved in the retail business in Latin America. The company sells its products through retail food chains, mass discounters and merchandisers, club stores, convenience stores, drug stores, and dollar stores, as well as e-commerce and other retail, commercial, and non-commercial establishments; and independent contractor distributors. Campbell Soup Company was founded in 1869 and is headquartered in Camden, New Jersey.","https://logo.clearbit.com/campbellsoupcompany.com","0.18732001","1.6795152","0.71790004","United States","Packaged Foods","14596667392","8.487","5.358","1.4","5.6898785","0.460562"
"Technology","14.268938","0.0083","29146548","19710650","9.512","0.195","Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and cloud and system management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has a strategic alliance with Internet2 to deliver next-generation capabilities and software solutions. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California.","https://logo.clearbit.com/cisco.com","0.22746","3.2252047","0.53790003","United States","Communication Equipment","159005818880","8.95","2.64","1.44","4.2089386","0.847766"
"Industrials","21.914421","0.0084","3272522","4043016","13.163","-0.14","CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services. The company offers rail services; and transportation of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. It transports chemicals, automotive, agricultural and food products, minerals, fertilizers, forest products, and metals and equipment; and coal, coke, and iron ore to electricity-generating power plants, steel manufacturers, and industrial plants, as well as exports coal to deep-water port facilities. The company also offers intermodal transportation services through a network of approximately 30 terminals transporting manufactured consumer goods in containers; drayage services, including the pickup and delivery of intermodal shipments; and trucking dispatch services. In addition, it serves the automotive industry with distribution centers and storage locations, as well as connects non-rail served customers through transferring products from rail to trucks, which includes plastics and ethanol. The company operates approximately 20,000 route mile rail network, which serves various population centers in 23 states east of the Mississippi River, the District of Columbia, and the Canadian provinces of Ontario and Quebec, as well as owns and leases approximately 3,561 locomotives. It also serves production and distribution facilities through track connections. CSX Corporation was incorporated in 1978 and is headquartered in Jacksonville, Florida.","https://logo.clearbit.com/csx.com","0.26083001","5.6673684","0.2833","United States","Railroads","60317802496","16.623","3.599","1.04","4.7446313","1.14065"
"Industrials","38.390522","0.0107","330892","343516","24.605","0.196","Cintas Corporation provides corporate identity uniforms and related business services primarily in North America, Latin America, Europe, and Asia. It operates through Uniform Rental and Facility Services and First Aid and Safety Services segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, and carpet and tile cleaning services, as well as sells uniforms. It also offers first aid and safety services, and fire protection products and services. The company provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. Cintas Corporation was founded in 1968 and is headquartered in Cincinnati, Ohio.","https://logo.clearbit.com/cintas.com","0.13179","4.901934","0.2975","United States","Specialty Business Services","34414301184","34.48","8.568","2.55","9.539733","1.487038"
"Technology","24.555893","0.016","6195658","3059550","11.631","-0.291","Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. The company operates through four segments: Financial Services; Healthcare; Products and Resources; and Communications, Media and Technology. It offers analytics and artificial intelligence, digital engineering, Internet of Things, interactive, and cloud services and solutions; and application development, systems integration, application testing and maintenance, infrastructure, and business process services. The company also develops, licenses, implements, and supports proprietary and third-party software products and platforms for the healthcare industry. In addition, it offers revenue cycle management solutions to the healthcare industry; business advisory and data analytics services; and salesforce services. Further, the company develops custom cloud-based software and platforms; and provides consulting services that enable companies to plan, implement, and optimize automated cloud-based business processes and technologies. It serves banking and insurance, healthcare and life sciences, retail and consumer goods, manufacturing, logistics, travel and hospitality, energy and utilities, communications and media, and technology industries. The company markets and sells its services through professional staff, senior management, and direct sales personnel. Cognizant Technology Solutions Corporation has collaboration with Verily Life Sciences to facilitate COVID-19 testing across the United States. Cognizant Technology Solutions Corporation was founded in 1994 and is headquartered in Teaneck, New Jersey.","https://logo.clearbit.com/cognizant.com","0.09668","2.3528283","0.2838","United States","Information Technology Services","39426342912","20.244","2.961","0.88","3.5916815","1.177606"
